,X_k2,X_k3,X_k4,X_k5,X_k6,Y_k2,Y_k3,Y_k4,Y_k5,Y_k6
1,-122.417212581,-122.417097424,-122.415793643,-122.415842552,-122.415997851,37.7873942622,37.7874245499,37.761446656,37.7614255461,37.7617102102
2,-122.419242974,-122.415825075,-122.41708247,-122.418778809,-122.469521432,37.7600042546,37.7613459157,37.7874271188,37.7876552598,37.7191735199
3,,-122.478114749,-122.466324981,-122.466324981,-122.418777723,,37.7389064857,37.7188142471,37.7188142471,37.7876558977
4,,,-122.486397828,-122.404596855,-122.486365725,,,37.7585723047,37.7855437389,37.7586892476
5,,,,-122.486397828,-122.40459074,,,,37.7585723047,37.7855371125
6,,,,,-122.405403204,,,,,37.7275776176
